date,universe,method,fund,return,periods_per_year,lambda_tilt
2021-02-09,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.002850411530510831,252,0.15
2021-02-10,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.001222328853482566,252,0.15
2021-02-11,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0012263963980810857,252,0.15
2021-02-12,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004298616799464786,252,0.15
2021-02-16,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.00017459925025545958,252,0.15
2021-02-17,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.00286976967219289,252,0.15
2021-02-18,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.005821984706511781,252,0.15
2021-02-19,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0005867640525189437,252,0.15
2021-02-22,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.002602950261718979,252,0.15
2021-02-23,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.00028691723577173084,252,0.15
2021-02-24,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.013843743760426344,252,0.15
2021-02-25,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.017554435598630395,252,0.15
2021-02-26,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.013181748839545017,252,0.15
2021-03-01,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.01988754404004366,252,0.15
2021-03-02,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.00260296409358176,252,0.15
2021-03-03,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.006313341902703981,252,0.15
2021-03-04,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0075524529717323355,252,0.15
2021-03-05,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.017546640757947544,252,0.15
2021-03-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.002433800893594544,252,0.15
2021-03-09,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.006310974847861246,252,0.15
2021-03-10,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.010179575406918927,252,0.15
2021-03-11,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004895578383048358,252,0.15
2021-03-12,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.007188298874541873,252,0.15
2021-03-15,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005767270276349397,252,0.15
2021-03-16,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0006016086145537532,252,0.15
2021-03-17,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0023825064730500405,252,0.15
2021-03-18,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.013157811999461123,252,0.15
2021-03-19,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.004875421919510089,252,0.15
2021-03-22,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005541061197886426,252,0.15
2021-03-23,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.008618932936957632,252,0.15
2021-03-24,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.003027882812904333,252,0.15
2021-03-25,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.007209572507444274,252,0.15
2021-03-26,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.01956812434310743,252,0.15
2021-03-29,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0009297960770858801,252,0.15
2021-03-30,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0031864570125977386,252,0.15
2021-03-31,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0013276027347785232,252,0.15
2021-04-01,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.012489919597622278,252,0.15
2021-04-05,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004800119255403512,252,0.15
2021-04-06,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.00012972973304525303,252,0.15
2021-04-07,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0006237475702260929,252,0.15
2021-04-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0013373601669765215,252,0.15
2021-04-09,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0023193082126751713,252,0.15
2021-04-12,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0008238715334731655,252,0.15
2021-04-13,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.001892431117227775,252,0.15
2021-04-14,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0036600015892748173,252,0.15
2021-04-15,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.009125716190312516,252,0.15
2021-04-16,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0020098931762677135,252,0.15
2021-04-19,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.003817718473413155,252,0.15
2021-04-20,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.009550192126305106,252,0.15
2021-04-21,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.010937019341335504,252,0.15
2021-04-22,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.009441789312260852,252,0.15
2021-04-23,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008830941815290228,252,0.15
2021-04-26,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0013221196623993492,252,0.15
2021-04-27,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.001344932027858827,252,0.15
2021-04-28,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.001259692415973113,252,0.15
2021-04-29,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.009268987151600938,252,0.15
2021-04-30,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.00763183171560628,252,0.15
2021-05-03,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.007280704498897045,252,0.15
2021-05-04,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.002405944881243342,252,0.15
2021-05-05,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.006264315137522085,252,0.15
2021-05-06,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008258309977438007,252,0.15
2021-05-07,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.009532931754138992,252,0.15
2021-05-10,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.004515456990999165,252,0.15
2021-05-11,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.009358888498160097,252,0.15
2021-05-12,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.015542580862485335,252,0.15
2021-05-13,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008271623341047668,252,0.15
2021-05-14,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.014082593890711587,252,0.15
2021-05-17,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.003077968865140536,252,0.15
2021-05-18,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.008823736045844644,252,0.15
2021-05-19,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.005482071166651579,252,0.15
2021-05-20,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008660228129759077,252,0.15
2021-05-21,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0023243195169086375,252,0.15
2021-05-24,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0061305906908459456,252,0.15
2021-05-25,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.005585601692443077,252,0.15
2021-05-26,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0037216125244228953,252,0.15
2021-05-27,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0022286756258887144,252,0.15
2021-05-28,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.002988982413542751,252,0.15
2021-06-01,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005698841192085124,252,0.15
2021-06-02,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0036528970522771882,252,0.15
2021-06-03,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0013955197402096445,252,0.15
2021-06-04,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.006720921716193706,252,0.15
2021-06-07,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0019890940636972955,252,0.15
2021-06-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0026714072400616335,252,0.15
2021-06-09,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.00256637716943746,252,0.15
2021-06-10,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0038128523072216403,252,0.15
2021-06-11,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-3.264793147822579e-05,252,0.15
2021-06-14,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0013492321141316912,252,0.15
2021-06-15,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0017314538898140063,252,0.15
2021-06-16,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.008067128810543134,252,0.15
2021-06-17,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.008024496006084998,252,0.15
2021-06-18,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.01489454313676387,252,0.15
2021-06-21,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0165146294924419,252,0.15
2021-06-22,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.001570882457404886,252,0.15
2021-06-23,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0034658347877492245,252,0.15
2021-06-24,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.007936695183646161,252,0.15
2021-06-25,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008330703296607378,252,0.15
2021-06-28,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0014920767005392123,252,0.15
2021-06-29,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0004539937507087302,252,0.15
2021-06-30,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004441215335188057,252,0.15
2021-07-01,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.00743471164833011,252,0.15
2021-07-02,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.003390306026980952,252,0.15
2021-07-06,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.010356267030681215,252,0.15
2021-07-07,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0011953872376203947,252,0.15
2021-07-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.006699387274597668,252,0.15
2021-07-09,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.012394995385036153,252,0.15
2021-07-12,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.003848155514476642,252,0.15
2021-07-13,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.005092509046759555,252,0.15
2021-07-14,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0033884826361281393,252,0.15
2021-07-15,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0023694370534082286,252,0.15
2021-07-16,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.01080990820506032,252,0.15
2021-07-19,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.017983413710116043,252,0.15
2021-07-20,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.011686673507354849,252,0.15
2021-07-21,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.012533794137757412,252,0.15
2021-07-22,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0017977931238937206,252,0.15
2021-07-23,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004327949429155917,252,0.15
2021-07-26,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.006769616392553397,252,0.15
2021-07-27,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0030996576458121403,252,0.15
2021-07-28,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0033533403577054987,252,0.15
2021-07-29,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0068169607857683865,252,0.15
2021-07-30,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.006233376902130224,252,0.15
2021-08-02,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0027022775226622237,252,0.15
2021-08-03,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.006399974567285213,252,0.15
2021-08-04,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.007947789168403694,252,0.15
2021-08-05,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005020568815668892,252,0.15
2021-08-06,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0038815691458462032,252,0.15
2021-08-09,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0023880516878993212,252,0.15
2021-08-10,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.006572748015318057,252,0.15
2021-08-11,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008736872671287558,252,0.15
2021-08-12,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0016541931245579425,252,0.15
2021-08-13,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0009585633627090935,252,0.15
2021-08-16,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0014602466686799375,252,0.15
2021-08-17,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.005686658681851259,252,0.15
2021-08-18,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.012773282751574454,252,0.15
2021-08-19,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.004962107485789489,252,0.15
2021-08-20,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005270603261533507,252,0.15
2021-08-23,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.010371722781550841,252,0.15
2021-08-24,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.002443463954110081,252,0.15
2021-08-25,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0004472241251401197,252,0.15
2021-08-26,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.007192865075645358,252,0.15
2021-08-27,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.011334459573611321,252,0.15
2021-08-30,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0012475399819904594,252,0.15
2021-08-31,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0005701641199450407,252,0.15
2021-09-01,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0017943813197412364,252,0.15
2021-09-02,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0060555496228974,252,0.15
2021-09-03,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.003126632789497787,252,0.15
2021-09-07,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.010006811077987957,252,0.15
2021-09-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0015059186703552819,252,0.15
2021-09-09,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0063578482789412505,252,0.15
2021-09-10,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.003679547865360519,252,0.15
2021-09-13,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004408901526035635,252,0.15
2021-09-14,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.00921166192484703,252,0.15
2021-09-15,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.007658840849863927,252,0.15
2021-09-16,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.004606011871415534,252,0.15
2021-09-17,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.011594328472773481,252,0.15
2021-09-20,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.016679763655579466,252,0.15
2021-09-21,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0021352180222209863,252,0.15
2021-09-22,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008117318024861472,252,0.15
2021-09-23,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.010735387685072458,252,0.15
2021-09-24,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0027476032482470496,252,0.15
2021-09-27,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0021407550383025155,252,0.15
2021-09-28,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.012102709246049474,252,0.15
2021-09-29,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.003973462477155721,252,0.15
2021-09-30,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0095924927069361,252,0.15
2021-10-01,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.012268008696574257,252,0.15
2021-10-04,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0030879975238980143,252,0.15
2021-10-05,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005517956093568127,252,0.15
2021-10-06,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0014254805656828328,252,0.15
2021-10-07,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008033866954519296,252,0.15
2021-10-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0009303212439069724,252,0.15
2021-10-11,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.008665330847484047,252,0.15
2021-10-12,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0008359645144350989,252,0.15
2021-10-13,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0034132239458457645,252,0.15
2021-10-14,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.012830037400738886,252,0.15
2021-10-15,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004750281023477513,252,0.15
2021-10-18,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,4.2973826852987267e-05,252,0.15
2021-10-19,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.009794687097096312,252,0.15
2021-10-20,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008711955926327964,252,0.15
2021-10-21,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0011176140678767778,252,0.15
2021-10-22,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0010771224856172214,252,0.15
2021-10-25,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0060185962017740525,252,0.15
2021-10-26,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005140034517632437,252,0.15
2021-10-27,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.015573966050857304,252,0.15
2021-10-28,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008431197577016566,252,0.15
2021-10-29,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.002700044342408945,252,0.15
2021-11-01,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0076032709400952365,252,0.15
2021-11-02,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004603216229194403,252,0.15
2021-11-03,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005048862459450925,252,0.15
2021-11-04,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.005245316711980506,252,0.15
2021-11-05,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004156119294991426,252,0.15
2021-11-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.004503239474538124,252,0.15
2021-11-09,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.000889785791012306,252,0.15
2021-11-10,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.007595526888032309,252,0.15
2021-11-11,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0015888576446203384,252,0.15
